,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85,269.3875639,-30.7193674,17h57m33.02s,-30d43m09.72s,0.0456,0.042,-0.0142,10.609,0.028,38.9,35.1,8.927,0.016,66.2,7.131,1,0,,,10,57830.45144344,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.983504,81.0292
86,269.3874676,-30.7194548,17h57m32.99s,-30d43m10.04s,0.0441,0.0587,-0.0114,10.794,0.043,25.3,22.08,8.915,0.019,56.9,7.025,1,0,,,5,57830.58234731,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.692478,103.468018
87,269.3875031,-30.7194232,17h57m33.00s,-30d43m09.92s,0.0441,0.0371,-0.0082,10.757,0.045,23.9,19.41,8.937,0.014,75.8,6.352,1,0,,,5,57830.64792662,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.784746,93.471716
88,269.3875549,-30.7194024,17h57m33.01s,-30d43m09.85s,0.0357,0.0346,-0.0092,10.714,0.027,39.5,27.48,8.904,0.014,77.1,11.77,1,0,,,5,57830.71337861,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.944016,88.339265
89,269.3875068,-30.7194014,17h57m33.00s,-30d43m09.85s,0.0452,0.0481,-0.0103,10.728,0.037,29.4,17.77,8.869,0.018,60.3,4.441,1,0,,,5,57830.77883054,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.795358,87.769217
90,269.3874074,-30.7194565,17h57m32.98s,-30d43m10.04s,0.0563,0.0685,-0.0204,10.928,0.062,17.6,10.93,8.936,0.02,54.0,8.493,1,0,,,5,57830.84428253,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.515089,108.965142
91,269.3875055,-30.7194224,17h57m33.00s,-30d43m09.92s,0.0473,0.0489,-0.0204,10.676,0.04,27.0,23.41,8.911,0.019,58.3,5.156,1,0,,,5,57830.8444099,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.79199,93.231209
92,269.3874274,-30.7194601,17h57m32.98s,-30d43m10.06s,0.0408,0.041,-0.0177,10.847,0.04,27.0,26.32,8.918,0.016,69.3,8.667,1,0,,,5,57830.90986189,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.577891,108.185882
93,269.3873792,-30.7194281,17h57m32.97s,-30d43m09.94s,0.0635,0.0718,-0.0352,10.839,0.063,17.2,13.76,8.852,0.025,43.7,5.662,1,0,,,5,57831.04076576,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.405131,99.255567
94,269.3874052,-30.7194161,17h57m32.98s,-30d43m09.90s,0.0427,0.0608,-0.0251,10.793,0.044,24.6,29.96,8.909,0.019,55.8,8.791,1,0,,,5,57831.17179705,2695030301351017880,8.801,0.024,6.037,0.041,2.73,0.011,1.146,0.013,1300956511,13.282,0.0497,12.373,0.0591,12.099,0.0497,0.480817,92.617752
